Songs,Artists,singer,lyrics,music
Kala Joda Lyrical  - Bhangra Paa Le,"Sunny, Rukshar",Romy&ShalmaliKholgade,"ShlokeLal,SiddhantKaushal,MandyGill,A",AkashdeepSenguptaforJam8
Chahenge Tumhein - Video Song,Vaah! Life Ho Toh Aisi,"UditNarayan,ShreyaGhoshal",Sameer,HimeshReshammiya
Duggi Official Song - Happy Hardy And Heer,"Himesh Reshammiya, Shannon K, Navraj Hans, Raja Sagoo","HimeshReshammiya,NavrajHans,RajaSagoo&ShannonK","Kumaar,ShabbirAhmed,HimeshReshammiya,VishalMishra&AaryanTiwari",HimeshReshammiya
Kisna: Hum Hain Is Pal Yahan,A.R. Rahman,"UditNarayan,Madhushree",JavedAkhtar,A.R.Rahman
"Party On My Mind Video Song - Race 2 I Saif, Deepika Padukone, John Abraham, Jacqueline",Pritam,URL&BOB,PrashantIngole.,Pritam
Jaati Hoon Main,Sharukh Khan,"KumarSanu,AlkaYagnik",Indeevar,RajeshRoshan
Chamma Chamma Lyrical - Fraud Saiyaan,"Elli AvrRam, Arshad Warsi","NehaKakkar,Romy,Arun&Ikka",Kumaar,AnuMalik
Phir Main Kaahe Mandir Jaun,Sukhwinder Singh,"SukhwinderSingh,AlkaYagnik",JavedAkhtar,IsmailDarbar
OSCAR - Video Song,Kaptaan,GippyGrewalfeat.Badshah,"AmritMaan,RajRanjodh,Jaani,BabuSinghMaan","DJFlow,JaidevKumar,BPraak"
Veerey Di Wedding - It s Entertainment,"Akshay Kumar, Tamannaah, Mika - Latest Bollywood Song 2014",MikaSingh,"MayurPuri,PriyaPanchal&AshishPandit",SachinJigar
Choomlu Honth Tere - Full Video,"Sam Merchant, Carla","KumarSanu,Alkayagnik","NoorKaskar,Sameer",Nadeem
Jaana Hai Jaana Hai Kasak,Lucky Ali and Meera,LuckyAli,Sameer,M.M.Kreem
Teri Meri Kahani Official Remix- Happy Hardy And Heer,Himesh Reshammiya and Ranu Mondal,HimeshReshammiya&RanuMondal,"Kumaar,ShabbirAhmed,HimeshReshammiya,VishalMishra&AaryanTiwari",HimeshReshammiya
Mere Bina Tu - Bollywood Sing Along - Phata Poster Nikhla Hero,Shahid and Ileana,RahatFatehAliKhan,IrshadKamil,Pritam
Teri Mahima Aprampaar - It s Entertainment,"Akshay Kumar, Tamannaah - Latest Bollywood Song 2014","AnushkaManchanda,UditNarayan","MayurPuri,PriyaPanchal&AshishPandit",SachinJigar
Full Song: Honthon Pe Bas,Mika Singh,"LataMangeshkar,KumarSanu",Sameer,DilipSen
Dil Meri Na Sune Full Video - Genius,"Utkarsh, Ishita",AtifAslam,"ManojMuntashir,","HimeshReshammiya,"
Tu Mere Agal Bagal - Phata Poster Nikhla Hero,Shahid and Ileana,MikaSingh,IrshadKamil,Pritam
Hai Re Hai Re Song Video - Khushi,"Hema Sardesai, KK","HemaSardesai,KK",Sameer,AnuMalik
Aati Kya Khandala,Ghulam,"AamirKhan,AlkaYagnik",Nitinraikar,JatinLalit
Jungle Hai Aadhi Raat Hai,Salman Khan,HemaSardesai&KumarSanu,Sameer,AnuMalik
Yeh Zindagi Kabhi Kabhi Song Video - Tadipaar,"S. P. Balasubrahmanyam, Alka Yagnik","S.P.Balasubrahmanyam,AlkaYagnik",Sameer,Nadeem
